Outline Level,ID,Name,Start,Finish,Duration,% Complete,Predecessors,Resource Names,Color,Notes
5,61,"3.7.1 Investigación de algoritmos",2024-07-29,2024-07-29,1 day,0,"","",,"<p><br></p>"
5,62,"3.7.2 Desarrollo de prototipo",2024-07-30,2024-07-31,2 day,0,"61FS","",,"<p><br></p>"
5,63,"3.7.3 Pruebas iniciales",2024-08-01,2024-08-02,2 day,0,"62FS","",,"<p><br></p>"
4,64,"3.8 Integración con la base de datos",2024-08-02,2024-08-06,3 day,0,"","",,"<p><br></p>"
5,65,"3.8.1 Conexión del algoritmo con la base de datos",2024-08-02,2024-08-02,1 day,0,"63FS-1 days","",,"<p><br></p>"
5,66,"3.8.2 Pruebas de integración",2024-08-05,2024-08-05,1 day,0,"65FS","",,"<p><br></p>"
5,67,"3.8.3 Ajustes y optimización",2024-08-06,2024-08-06,1 day,0,"66FS","",,"<p><br></p>"
4,68,"3.9 Diseño de la interfaz de usuario",2024-08-07,2024-08-09,3 day,0,"","",,"<p><br></p>"
5,69,"3.9.1 Creación de wireframes",2024-08-07,2024-08-07,1 day,0,"67FS","",,"<p><br></p>"
5,70,"3.9.2 Validación con usuarios",2024-08-08,2024-08-08,1 day,0,"69FS","",,"<p><br></p>"
5,71,"3.9.3 Implementación de feedback",2024-08-09,2024-08-09,1 day,0,"70FS","",,"<p><br></p>"
2,72,"Etapa 4: Control y Seguimiento",2024-08-12,2024-09-24,32 day,0,"","",,"<p><br></p>"
3,73,"Sprint 4: Búsqueda de Alimentos (1.5 semanas)",2024-08-12,2024-08-26,11 day,0,"","",,"<p><br></p>"
4,75,"4.1 Implementación del motor de búsqueda",2024-08-12,2024-08-16,5 day,0,"","",,"<p><br></p>"
5,76,"4.1.1 Desarrollo del backend",2024-08-12,2024-08-14,3 day,0,"","",,"<p><br></p>"
5,74,"4.1.2 Optimización de consultas",2024-08-15,2024-08-15,1 day,0,"76FS","",,"<p><br></p>"
5,77,"4.1.3 Pruebas de rendimiento",2024-08-16,2024-08-16,1 day,0,"74FS","",,"<p><br></p>"
4,78,"4.2 Diseño de la interfaz de búsqueda",2024-08-19,2024-08-20,2 day,0,"","",,"<p><br></p>"
5,79,"4.2.1 Creación de wireframes",2024-08-19,2024-08-19,1 day,0,"77FS","",,"<p><br></p>"
5,80,"4.2.2 Validación con usuarios",2024-08-20,2024-08-20,1 day,0,"79FS","",,"<p><br></p>"
5,81,"4.2.3 Implementación de feedback",2024-08-20,2024-08-20,1 day,0,"79FS","",,"<p><br></p>"
4,82,"4.3 Integración con la base de datos de alimentos",2024-08-21,2024-08-26,4 day,0,"","",,"<p><br></p>"
5,83,"4.3.1 Ajuste del esquema de base de datos",2024-08-21,2024-08-21,1 day,0,"81FS","",,"<p><br></p>"
5,84,"4.3.2 Pruebas de integración",2024-08-22,2024-08-22,1 day,0,"83FS","",,"<p><br></p>"
5,85,"4.3.3 Optimización de consultas",2024-08-23,2024-08-23,1 day,0,"84FS","",,"<p><br></p>"
5,126,"Dia de descanso",2024-08-26,2024-08-26,1 day,0,"","",31,"<p><br></p>"
3,86,"Sprint 5: Notificaciones y Recetas (2 semanas)",2024-08-27,2024-09-06,9 day,0,"","",,"<p><br></p>"
4,89,"4.4 Desarrollo de sistema de notificaciones",2024-08-27,2024-08-30,4 day,0,"","",,"<p><br></p>"
5,88,"4.4.1 Implementación del backend",2024-08-27,2024-08-28,2 day,0,"","",,"<p><br></p>"
5,87,"4.4.2 Pruebas de envío y recepción",2024-08-29,2024-08-29,1 day,0,"88FS","",,"<p><br></p>"
5,90,"4.4.3 Integración con el perfil del usuario",2024-08-30,2024-08-30,1 day,0,"87FS","",,"<p><br></p>"
4,91,"4.5 Diseño de interfaz para guardar recetas",2024-09-02,2024-09-03,2 day,0,"","",,"<p><br></p>"
5,92,"4.5.1 Creación de wireframes",2024-09-02,2024-09-02,1 day,0,"90FS","",,"<p><br></p>"
5,93,"4.5.2 Validación con usuarios",2024-09-03,2024-09-03,1 day,0,"92FS","",,"<p><br></p>"
5,94,"4.5.3 Implementación de feedback",2024-09-03,2024-09-03,1 day,0,"92FS","",,"<p><br></p>"
4,95,"4.6 Integración con la base de datos de usuarios",2024-09-04,2024-09-06,3 day,0,"","",,"<p><br></p>"
5,96,"4.6.1 Ajuste del esquema de base de datos",2024-09-04,2024-09-04,1 day,0,"94FS","",,"<p><br></p>"
5,97,"4.6.2 Pruebas de integración",2024-09-05,2024-09-05,1 day,0,"96FS","",,"<p><br></p>"
5,98,"4.6.3 Optimización de consultas",2024-09-06,2024-09-06,1 day,0,"97FS","",,"<p><br></p>"
3,99,"Sprint 6: Alertas y Visualizaciones (2 semanas)",2024-09-09,2024-09-24,12 day,0,"","",,"<p><br></p>"
4,100,"4.7 Desarrollo del sistema de alertas",2024-09-09,2024-09-13,5 day,0,"","",,"<p><br></p>"
5,101,"4.7.1 Implementación del backend",2024-09-09,2024-09-11,3 day,0,"","",,"<p><br></p>"
5,102,"4.7.2 Pruebas de envío y recepción",2024-09-12,2024-09-12,1 day,0,"101FS","",,"<p><br></p>"
5,103,"4.7.3 Integración con recomendaciones",2024-09-13,2024-09-13,1 day,0,"102FS","",,"<p><br></p>"
4,104,"4.8 Integración con el sistema de recomendaciones",2024-09-16,2024-09-20,5 day,0,"","",,"<p><br></p>"
5,105,"4.8.1 Conexión con el backend de alertas",2024-09-16,2024-09-17,2 day,0,"103FS","",,"<p><br></p>"
5,106,"4.8.2 Pruebas de integración",2024-09-18,2024-09-18,1 day,0,"105FS","",,"<p><br></p>"
5,107,"4.8.3 Optimización de consultas",2024-09-19,2024-09-20,2 day,0,"106FS","",,"<p><br></p>"
4,108,"4.9 Diseño de la interfaz de alertas",2024-09-23,2024-09-24,2 day,0,"","",,"<p><br></p>"
5,109,"4.9.1 Creación de wireframes",2024-09-23,2024-09-23,1 day,0,"107FS","",,"<p><br></p>"
5,110,"4.9.2 Validación con usuarios",2024-09-24,2024-09-24,1 day,0,"109FS","",,"<p><br></p>"
5,111,"4.9.3 Implementación de feedback",2024-09-24,2024-09-24,1 day,0,"109FS","",,"<p><br></p>"
2,112,"Etapa 5: Cierre",2024-09-30,2024-10-15,12 day,0,"","",,"<p><br></p>"
3,113,"5.1 Integración y Pruebas",2024-09-30,2024-10-04,5 day,0,"","",,"<p><br></p>"
4,114,"5.1.1 Integración de módulos",2024-09-30,2024-09-30,1 day,0,"","",,"<p><br></p>"
4,115,"5.1.2 Pruebas unitarias",2024-10-01,2024-10-03,3 day,0,"114FS","",,"<p><br></p>"
4,116,"5.1.3 Pruebas de integración",2024-10-03,2024-10-04,2 day,0,"115FS-1 days","",,"<p><br></p>"
3,117,"5.2 Pruebas de Sistema",2024-10-07,2024-10-10,4 day,0,"","",,"<p><br></p>"
4,118,"5.2.1 Pruebas de carga y estrés",2024-10-07,2024-10-07,1 day,0,"116FS","",,"<p><br></p>"
4,119,"5.2.2 Evaluación de usabilidad con usuarios",2024-10-08,2024-10-08,1 day,0,"118FS","",,"<p><br></p>"
4,120,"5.2.3 Ajustes basados en feedback",2024-10-09,2024-10-10,2 day,0,"119FS","",,"<p><br></p>"
3,121,"5.3 Despliegue y Soporte",2024-10-11,2024-10-15,3 day,0,"","",,"<p><br></p>"
4,122,"5.3.1 Despliegue en ambiente de producción",2024-10-11,2024-10-11,1 day,0,"120FS","",,"<p><br></p>"
4,123,"5.3.2 Verificación de seguridad y rendimiento",2024-10-14,2024-10-14,1 day,0,"122FS","",,"<p><br></p>"
4,124,"5.3.3 Soporte y mantenimiento inicial",2024-10-15,2024-10-15,1 day,0,"123FS","",,"<p><br></p>"
